Elapsed Time: 1.00 seconds, Achieved TPS: 37.89
Elapsed Time: 2.00 seconds, Achieved TPS: 37.94
Elapsed Time: 3.00 seconds, Achieved TPS: 40.96
Elapsed Time: 4.00 seconds, Achieved TPS: 37.22
Elapsed Time: 5.00 seconds, Achieved TPS: 34.78
Elapsed Time: 6.00 seconds, Achieved TPS: 35.82
Elapsed Time: 7.00 seconds, Achieved TPS: 36.70
Elapsed Time: 8.00 seconds, Achieved TPS: 38.11
Elapsed Time: 9.00 seconds, Achieved TPS: 39.43
Elapsed Time: 10.00 seconds, Achieved TPS: 39.99
Elapsed Time: 11.00 seconds, Achieved TPS: 40.63
Elapsed Time: 12.00 seconds, Achieved TPS: 41.24
Elapsed Time: 13.00 seconds, Achieved TPS: 41.76
Elapsed Time: 14.00 seconds, Achieved TPS: 42.21
Elapsed Time: 15.00 seconds, Achieved TPS: 42.66
Elapsed Time: 16.00 seconds, Achieved TPS: 42.68
